origin,crs_dep_hour,crs_dep_time,mean_hourly_origin_delay
ABE,0,24.666666666666668,355.3333333333333
ABE,5,543.6671428571428,5.538571428571428
ABE,6,611.5656441717791,2.503476482617587
ABE,7,729.9787234042553,2.1648936170212765
ABE,8,809.5079365079365,4.3619047619047615
ABE,9,936.9601449275362,-2.0634057971014492
ABE,10,1028.2421875,2.154296875
ABE,11,1134.5282258064517,0.7903225806451613
ABE,12,1234.3117647058823,5.319117647058824
ABE,13,1320.8802966101696,4.217161016949152
ABE,14,1434.5283687943263,7.336879432624113
ABE,15,1521.368932038835,6.172815533980582
ABE,16,1637.6798245614036,11.568713450292398
ABE,17,1739.3401015228426,16.96446700507614
ABE,18,1836.4211409395973,9.520134228187919
ABE,19,1918.43,19.345
ABE,20,2032.548872180451,26.06766917293233
ABE,21,2114.3207547169814,23.150943396226417
ABI,5,507.95022624434387,-0.8416289592760181
ABI,6,637.3943661971831,4.746478873239437
ABI,7,732.7965571205008,-0.018779342723004695
ABI,8,836.3537414965987,11.520408163265307
ABI,9,906.3689320388349,-1.9223300970873787
ABI,10,1033.6385911179173,2.2006125574272586
ABI,12,1242.3861003861005,8.602316602316602
ABI,13,1326.391304347826,14.012422360248447
ABI,14,1407.2380952380952,-2.4126984126984126
ABI,15,1555.9411764705883,7.705882352941177
ABI,16,1625.663382594417,13.935960591133005
ABI,17,1700.6382978723404,12.787234042553191
ABI,18,1834.0706214689264,6.943502824858757
ABI,20,2030.0,-6.769230769230769
ABI,21,2150.0,-19.0
ABQ,0,42.875,-1.7232142857142858
ABQ,5,531.455985915493,-0.8807218309859155
ABQ,6,619.7968253968254,-4.076479076479076
ABQ,7,718.6001912960306,1.5717360114777619
ABQ,8,830.5136281041792,2.1923076923076925
ABQ,9,930.4858135495078,-0.8297625940938043
ABQ,10,1029.2360714285714,0.6367857142857143
ABQ,11,1134.9804959598773,3.1200891613262747
ABQ,12,1223.9071155682905,2.929083094555874
ABQ,13,1323.5318021201413,4.844018172640081
ABQ,14,1428.9784079922656,6.0509184660006445
ABQ,15,1521.7667348728442,8.459807073954984
ABQ,16,1628.7941970310392,7.2493252361673415
ABQ,17,1730.3183978275629,8.892396469789546
ABQ,18,1826.433785822021,10.042835595776772
ABQ,19,1927.5690544412607,13.225214899713468
ABQ,20,2025.432552954292,6.05685618729097
ABQ,21,2122.222680412371,12.682474226804123
ABQ,22,2232.874316939891,15.131147540983607
ABQ,23,2353.167774086379,10.807308970099667
ABR,5,500.9327485380117,10.799707602339181
ABR,6,643.8235294117648,14.588235294117647
ABR,7,700.0,3.8333333333333335
ABR,8,800.0,15.857142857142858
ABR,13,1314.921458625526,4.939691444600281
ABR,15,1535.0,1.5555555555555556
ABR,17,1728.7142857142858,-12.80952380952381
ABY,6,629.5842541436464,8.181311018131101
ABY,7,700.0,-12.0
ABY,11,1153.1513292433538,10.080246913580247
ABY,12,1200.7469879518073,13.512195121951219
ABY,13,1300.0,-16.333333333333332
ABY,14,1428.4057971014493,1.4202898550724639
ABY,15,1501.6052631578948,10.31578947368421
ABY,16,1641.942857142857,14.538095238095238
ABY,17,1734.198717948718,13.064516129032258
ABY,18,1810.1176470588234,25.558823529411764
ABY,21,2149.0,3.5
ACK,7,740.8019801980198,23.613861386138613
ACK,8,831.2564102564103,19.495726495726494
ACK,9,923.368,8.736
ACK,10,1020.578947368421,14.134868421052632
ACK,11,1130.2684824902724,34.252918287937746
ACK,12,1220.5172413793102,11.64080459770115
ACK,13,1341.2727272727273,30.080459770114942
ACK,14,1435.7534246575342,30.705479452054796
ACK,15,1509.0717131474103,34.0996015936255
ACK,16,1626.301204819277,7.493975903614458
ACK,17,1726.235465116279,30.686046511627907
ACK,18,1833.8620689655172,6.551724137931035
ACK,19,1911.65625,9.3125
ACK,20,2020.0566037735848,61.24528301886792
ACK,21,2110.0,44.714285714285715
ACK,22,2213.0,37.49295774647887
ACT,5,518.7784810126582,0.6408227848101266
ACT,6,639.3333333333334,-17.0
ACT,7,704.4285714285714,4.857142857142857
ACT,8,834.2456140350877,9.228070175438596
ACT,9,943.875,-11.875
ACT,10,1028.2158385093169,2.209627329192547
ACT,11,1152.1538461538462,1.6923076923076923
ACT,12,1232.1954887218046,-6.548872180451128
ACT,13,1334.4677716390424,5.263351749539595
ACT,14,1407.0,-1.5
ACT,15,1546.0,6.5
ACT,16,1647.6198547215497,10.39951573849879
ACT,17,1706.3333333333333,6.0
ACT,18,1842.9807383627608,1.9743178170144462
ACT,19,1955.0,-2.3636363636363638
ACT,20,2001.7777777777778,-15.055555555555555
ACV,5,542.4761904761905,-13.523809523809524
ACV,6,608.8785340314137,11.185340314136125
ACV,7,701.4974874371859,25.477386934673365
ACV,8,814.6153846153846,37.51923076923077
ACV,9,940.0,-7.0
ACV,10,1045.9257731958762,13.00618556701031
ACV,11,1116.579831932773,34.34117647058824
ACV,12,1237.9830508474577,13.220338983050848
ACV,15,1528.3333333333333,12.777777777777779
ACV,16,1630.0,2.1578947368421053
ACV,17,1747.575,9.025
ACV,18,1807.0543259557344,12.173038229376257
ACV,19,1922.1842105263158,14.68421052631579
ACV,20,2024.7692307692307,5.266666666666667
ACY,6,621.7449962935508,-5.578947368421052
ACY,7,713.4833483348335,-2.1746174617461747
ACY,8,805.0749063670412,-2.299625468164794
ACY,9,900.0,0.2631578947368421
ACY,10,1042.450331125828,-8.788079470198676
ACY,11,1100.0,-2.0526315789473686
ACY,12,1241.3579881656806,-1.871301775147929
ACY,13,1316.0812407680946,0.20531757754800592
ACY,14,1434.654867256637,19.575221238938052
ACY,15,1545.0,-13.5
ACY,16,1622.0,7.75
ACY,17,1742.1939163498098,1.446768060836502
ACY,18,1818.9129916567342,19.545887961859357
ACY,19,1950.0,40.78125
ACY,20,2012.0034843205574,-2.442508710801394
ADK,16,1632.2666666666667,36.733333333333334
ADK,17,1725.7407407407406,5.895061728395062
ADK,18,1810.4761904761904,-21.238095238095237
ADK,19,1947.0,-3.0
ADQ,7,751.9556451612904,-4.004032258064516
ADQ,8,803.5971223021583,0.9028776978417267
ADQ,16,1643.7185628742516,0.2155688622754491
ADQ,17,1706.3791821561338,-2.4516728624535316
AEX,5,540.3390804597701,-20.620689655172413
AEX,6,606.8981481481482,-0.2706552706552707
AEX,7,726.8626262626262,5.8
AEX,8,838.2,-14.0
AEX,10,1024.3486486486486,2.0891891891891894
AEX,11,1125.3478260869565,2.8260869565217392
AEX,12,1217.9725130890051,2.738219895287958
AEX,13,1356.0,11.0
AEX,14,1422.0273109243697,1.433684210526316
AEX,15,1521.0739299610896,3.992217898832685
