dest,crs_arr_hour,crs_arr_time,mean_hourly_dest_delay
ABE,0,8.893203883495145,-1.1359223300970873
ABE,3,312.5,-14.0
ABE,7,737.3333333333334,-5.875
ABE,8,841.6933797909408,-5.571428571428571
ABE,9,927.185294117647,-4.089705882352941
ABE,10,1033.8029739776953,0.44609665427509293
ABE,11,1128.0526992287919,3.5989717223650386
ABE,12,1226.9619771863117,2.0637488106565174
ABE,13,1325.804347826087,3.8125
ABE,14,1433.723044397463,0.21775898520084566
ABE,15,1533.414985590778,6.164265129682997
ABE,16,1625.6961394769614,9.49439601494396
ABE,17,1713.867432150313,5.944096133751306
ABE,18,1824.7280550774526,7.094664371772805
ABE,19,1938.5877862595419,28.770992366412212
ABE,20,2045.1914893617022,19.267477203647417
ABE,21,2129.285714285714,13.455069124423963
ABE,22,2222.121236777868,0.9454841334418226
ABE,23,2338.6946755407653,2.9193011647254576
ABI,1,135.0,-4.0
ABI,8,809.0,17.0
ABI,10,1008.0290456431535,1.0248962655601659
ABI,11,1158.0212765957447,1.9574468085106382
ABI,12,1227.8682795698924,5.951612903225806
ABI,13,1327.8222222222223,4.751111111111111
ABI,14,1404.0,-15.5
ABI,15,1539.3508287292818,10.05524861878453
ABI,16,1621.656976744186,6.808139534883721
ABI,17,1745.4086021505377,5.629032258064516
ABI,18,1812.7098445595855,10.569948186528498
ABI,19,1935.7171171171171,6.83963963963964
ABI,20,2010.8902439024391,9.640243902439025
ABI,21,2114.001644736842,6.759868421052632
ABI,22,2258.0,10.037037037037036
ABI,23,2306.920814479638,0.8167420814479638
ABQ,0,21.086839749328558,7.783348254252462
ABQ,1,118.55430711610487,13.55056179775281
ABQ,6,651.9047619047619,-0.047619047619047616
ABQ,7,745.3694117647059,-1.0776470588235294
ABQ,8,820.7351940095303,-0.807351940095303
ABQ,9,932.2730968218773,-3.155210643015521
ABQ,10,1031.6133625410735,-0.2971887550200803
ABQ,11,1125.8803369710895,-1.5837641202374115
ABQ,12,1229.064911064911,2.645876645876646
ABQ,13,1330.9447745543516,1.4341139461726669
ABQ,14,1429.4780447390224,5.214029273681303
ABQ,15,1533.985877605918,3.835238735709482
ABQ,16,1628.2485113140135,5.3533148074632795
ABQ,17,1727.678846153846,7.765934065934066
ABQ,18,1828.1239515377447,10.01444547996272
ABQ,19,1930.5354195323246,7.127922971114168
ABQ,20,2024.2511377741,12.994621431526687
ABQ,21,2128.215444516548,5.947436729396496
ABQ,22,2232.848061642186,11.124729111485673
ABQ,23,2330.931196247068,9.550625488663018
ABR,12,1246.2897327707453,-1.3853727144866386
ABR,15,1526.5714285714287,-6.75
ABR,16,1603.0,12.272727272727273
ABR,20,2046.5625,-5.8125
ABR,21,2134.84,-8.76
ABR,22,2209.75,-14.916666666666666
ABR,23,2335.9620060790276,9.955927051671733
ABY,0,27.5,43.5
ABY,11,1129.124457308249,4.2757619738751815
ABY,12,1204.0,-4.333333333333333
ABY,14,1431.962962962963,8.777777777777779
ABY,15,1549.0,3.4545454545454546
ABY,16,1627.1549295774648,9.44718309859155
ABY,17,1732.2697674418605,13.342723004694836
ABY,18,1854.0,-17.0
