date,delay,origin_city_name,dest_city_name,origin_weather,dest_weather
2019-07-02,-2.0,"Washington, DC","Norfolk, VA","Rain, Partially cloudy",Clear
2019-01-24,219.0,"Atlanta, GA","New York, NY","Rain, Partially cloudy","Rain, Partially cloudy"
2019-07-28,-8.0,"New Orleans, LA","Raleigh-Durham, NC","Rain, Partially cloudy",Partially cloudy
2019-05-10,-7.0,"San Diego, CA","Baltimore, MD","Rain, Partially cloudy","Rain, Partially cloudy"
2018-06-18,-22.0,"Kansas City, MO","Denver, CO",Clear,"Rain, Partially cloudy"
2019-07-08,31.0,"Philadelphia, PA","Milwaukee, WI","Rain, Partially cloudy",Partially cloudy
2019-03-19,-18.0,"Orlando, FL","Memphis, TN","Rain, Partially cloudy",Clear
2019-10-20,90.0,"Denver, CO","Omaha, NE",Partially cloudy,"Rain, Partially cloudy"
2019-10-27,45.0,"Chicago, IL","Buffalo, NY","Rain, Partially cloudy","Rain, Partially cloudy"
2019-10-30,-14.0,"Charlotte, NC","Las Vegas, NV","Rain, Partially cloudy",Clear
2019-05-11,-31.0,"Newark, NJ","Miami, FL","Rain, Partially cloudy",Partially cloudy
2019-11-13,-14.0,"Boston, MA","West Palm Beach-Palm Beach, FL",Partially cloudy,"Rain, Partially cloudy"
2019-11-13,11.0,"Phoenix, AZ","Los Angeles, CA",Clear,Partially cloudy
2019-07-15,-15.0,"Kona, HI","Honolulu, HI","Rain, Partially cloudy","Rain, Partially cloudy"
2018-05-25,17.0,"Roanoke, VA","Chicago, IL",Partially cloudy,"Rain, Partially cloudy"
2019-08-28,89.0,"New York, NY","Baltimore, MD","Rain, Partially cloudy",Partially cloudy
2019-02-24,6.0,"Philadelphia, PA","Charlotte, NC","Rain, Partially cloudy","Rain, Partially cloudy"
2018-02-10,-3.0,"Fort Myers, FL","Charlotte, NC",Clear,"Rain, Partially cloudy"
2019-12-10,-23.0,"Lexington, KY","Washington, DC","Rain, Partially cloudy","Rain, Partially cloudy"
2018-09-17,0.0,"Portland, OR","Medford, OR",Partially cloudy,Clear
2019-12-09,11.0,"Charlotte, NC","Charlottesville, VA","Rain, Overcast",Rain
2019-10-05,3.0,"Charlotte, NC","Columbia, SC","Rain, Partially cloudy","Rain, Partially cloudy"
2019-09-17,4.0,"Anchorage, AK","Honolulu, HI",Partially cloudy,"Rain, Partially cloudy"
2018-07-10,-23.0,"Wilmington, NC","Charlotte, NC",Clear,Partially cloudy
2019-02-17,9.0,"Honolulu, HI","Seattle, WA","Rain, Partially cloudy",Partially cloudy
2018-05-13,-18.0,"Orlando, FL","Newark, NJ","Rain, Partially cloudy","Rain, Overcast"
2019-10-06,-1.0,"Norfolk, VA","Detroit, MI",Partially cloudy,"Rain, Partially cloudy"
2019-10-14,0.0,"Dallas-Fort Worth, TX","Lake Charles, LA",Partially cloudy,"Rain, Partially cloudy"
2019-11-10,-6.0,"Los Angeles, CA","Dallas-Fort Worth, TX",Partially cloudy,Clear
2019-12-15,-6.0,"Dallas, TX","Lubbock, TX",Partially cloudy,Partially cloudy
2019-08-11,-16.0,"Kansas City, MO","Austin, TX","Rain, Partially cloudy",Partially cloudy
2018-07-03,-8.0,"Guam, TT","Saipan, TT","Rain, Partially cloudy","Rain, Partially cloudy"
2018-08-24,-16.0,"Kalamazoo, MI","Chicago, IL",Partially cloudy,"Rain, Partially cloudy"
2019-05-11,-5.0,"Washington, DC","Newark, NJ","Rain, Partially cloudy","Rain, Partially cloudy"
2018-08-24,-16.0,"Charlotte, NC","Richmond, VA",Clear,Partially cloudy
2018-03-16,-8.0,"Fort Lauderdale, FL","Philadelphia, PA",Clear,Partially cloudy
2018-04-23,-12.0,"San Diego, CA","San Francisco, CA",Partially cloudy,Partially cloudy
2019-11-23,-28.0,"Raleigh-Durham, NC","Washington, DC","Rain, Overcast","Rain, Partially cloudy"
2018-02-10,12.0,"Rochester, NY","Baltimore, MD","Snow, Overcast","Rain, Partially cloudy"
2018-11-05,-7.0,"Buffalo, NY","Chicago, IL","Rain, Partially cloudy","Rain, Overcast"
2018-02-23,4.0,"Denver, CO","Phoenix, AZ",Partially cloudy,Partially cloudy
2018-10-28,-21.0,"Newark, NJ","Fort Lauderdale, FL","Rain, Overcast",Partially cloudy
2018-01-16,-10.0,"Salt Lake City, UT","Denver, CO",Partially cloudy,Clear
2019-09-11,-6.0,"Charlotte, NC","Denver, CO",Partially cloudy,Partially cloudy
2019-06-01,-15.0,"Philadelphia, PA","State College, PA","Rain, Partially cloudy","Rain, Partially cloudy"
2019-08-07,-10.0,"Kalamazoo, MI","Detroit, MI",Partially cloudy,"Rain, Partially cloudy"
2019-03-02,-9.0,"Houston, TX","Austin, TX","Rain, Overcast",Overcast
2019-08-03,-6.0,"New Haven, CT","Charlotte, NC",Partially cloudy,"Rain, Partially cloudy"
2019-05-06,1.0,"Philadelphia, PA","Baltimore, MD",Partially cloudy,Partially cloudy
2018-06-11,10.0,"San Jose, CA","Burbank, CA",Clear,Clear
2018-07-31,-7.0,"San Francisco, CA","Dallas-Fort Worth, TX",Partially cloudy,Partially cloudy
2019-04-17,43.0,"Chicago, IL","Newark, NJ",Partially cloudy,Partially cloudy
2018-04-04,-6.0,"Portland, ME","Detroit, MI","Rain, Partially cloudy","Rain, Partially cloudy"
2018-09-22,41.0,"Sacramento, CA","Seattle, WA",Clear,"Rain, Partially cloudy"
2018-09-16,211.0,"Lake Charles, LA","Houston, TX",Rain,Partially cloudy
2019-03-01,40.0,"Dallas-Fort Worth, TX","Denver, CO",Overcast,Partially cloudy
2019-04-21,17.0,"Moline, IL","Las Vegas, NV",Clear,Partially cloudy
2019-02-21,16.0,"Cody, WY","Denver, CO",Partially cloudy,Partially cloudy
2018-09-29,-15.0,"Dallas-Fort Worth, TX","Jackson, WY","Rain, Partially cloudy",Clear
2019-04-01,-4.0,"Las Vegas, NV","Denver, CO",Partially cloudy,Partially cloudy
2018-10-23,-3.0,"Louisville, KY","Denver, CO",Clear,Partially cloudy
2018-05-19,35.0,"Atlanta, GA","Fayetteville, NC",Partially cloudy,"Rain, Partially cloudy"
2019-02-15,-14.0,"Chattanooga, TN","Atlanta, GA","Rain, Overcast","Rain, Partially cloudy"
2019-06-17,-64.0,"New York, NY","San Juan, PR","Rain, Partially cloudy","Rain, Partially cloudy"
2019-02-07,17.0,"Hartford, CT","Chicago, IL","Rain, Overcast","Rain, Overcast"
2019-03-16,-23.0,"New York, NY","Chicago, IL","Rain, Partially cloudy",Partially cloudy
2018-02-01,7.0,"Atlanta, GA","Fort Lauderdale, FL",Partially cloudy,Partially cloudy
2019-04-19,-2.0,"Dallas-Fort Worth, TX","Washington, DC",Clear,"Rain, Partially cloudy"
2018-03-25,-25.0,"Las Vegas, NV","Cleveland, OH",Clear,Clear
2019-11-02,-12.0,"Omaha, NE","Houston, TX",Partially cloudy,Clear
